Pros_No,married,own_home,household_size,income,age,zip_code
295,0,1,3,65,45,21702
296,1,1,6,50,71,21113
297,1,1,2,75,62,8361
298,0,1,1,35,56,22213
299,1,1,3,85,69,8008
300,1,1,6,55,64,22191
301,0,0,4,35,45,21230
302,1,1,2,110,48,23233
303,1,1,2,35,44,8002
304,1,1,3,105,51,19067
305,0,1,8,130,27,19130
306,1,1,2,35,43,19128
307,1,1,1,35,56,21218
308,1,1,2,35,50,22101
309,1,1,3,175,50,20895
310,1,1,2,80,42,8210
311,1,1,5,40,65,22601
312,0,1,3,175,57,19010
313,1,1,1,40,39,19067
314,0,1,2,60,49,22153
315,0,1,2,35,38,21037
316,0,1,1,35,54,8234
317,0,1,3,35,58,20905
318,0,1,2,130,51,20190
319,0,1,1,110,38,21114
320,1,1,2,35,52,19006
321,1,1,4,85,43,21117
322,0,1,1,55,59,8690
323,0,1,2,80,47,8057
324,0,0,2,35,29,8691
325,0,1,1,35,68,8021
326,1,1,3,35,80,22153
327,0,1,2,125,42,20816
328,0,0,1,35,26,21204
329,1,1,3,120,28,21042
330,1,1,3,35,60,22039
331,0,0,2,80,48,20117
332,0,1,5,130,40,21204
333,1,0,2,35,41,22152
334,1,1,3,35,63,20008
335,1,1,2,35,51,21075
336,1,1,4,35,66,20723
337,0,0,1,35,80,8055
338,1,1,4,140,45,22180
339,0,1,5,40,42,8021
340,0,1,2,55,63,22305
341,0,1,3,55,59,8757
342,1,1,1,35,65,8053
343,0,1,3,80,62,8816
344,0,1,4,35,44,8520
345,0,1,3,45,79,21228
346,1,1,4,35,52,19027
347,0,1,2,175,54,22207
348,1,1,3,50,45,8096
349,0,1,2,95,68,22030
350,0,1,1,35,48,21146
351,0,1,6,35,47,8034
352,1,1,1,35,76,8034
353,1,1,3,65,49,8332
354,1,1,5,175,43,19004
355,0,1,2,35,44,20115
356,1,1,1,150,50,21212
357,1,1,4,40,52,8050
358,1,1,3,55,68,21035
359,1,1,6,175,54,8071
360,1,0,1,35,76,23229
361,1,1,4,35,48,20147
362,0,1,8,35,54,20147
363,0,1,1,35,47,8108
364,1,1,4,35,63,20817
365,0,1,4,45,71,19067
366,0,0,2,175,62,8648
367,1,1,3,50,73,22309
368,1,1,3,35,48,21122
369,0,1,6,65,42,20817
370,1,1,5,165,56,20816
371,0,1,1,35,30,21210
372,0,1,1,35,53,8087
373,1,0,3,85,69,22911
374,0,1,5,35,45,21048
375,0,1,5,35,44,8087
376,0,0,3,35,56,22152
377,0,1,3,50,55,21054
378,0,1,3,35,67,20876
379,1,1,4,100,53,21146
380,0,1,1,120,38,20148
381,1,1,3,35,35,7726
382,0,1,2,175,48,20152
383,0,1,3,35,48,8005
384,1,1,3,115,63,20895
385,1,1,4,145,54,22305
386,0,1,2,175,78,23229
387,1,1,3,125,40,22305
388,1,1,1,90,56,18901
389,1,1,4,35,54,20901
390,0,1,1,35,33,21230
391,0,1,4,35,57,22026
392,0,1,3,55,66,22911
393,0,1,3,35,67,22003
394,1,1,2,35,45,8005
395,1,1,4,115,57,22309
396,1,1,2,60,74,8033
397,0,1,2,35,32,20016
398,0,1,3,105,66,20724
399,0,1,1,35,71,8106
400,1,1,2,35,63,22314
401,1,1,2,35,75,8088
402,1,1,5,35,66,8087
403,0,0,1,135,44,22182
404,1,1,5,175,49,21014
405,0,1,2,70,67,18940
406,1,1,5,45,45,7728
407,0,1,1,135,58,20815
408,1,1,6,175,56,21210
409,1,1,3,40,76,21204
410,1,1,4,35,73,22153
411,0,1,2,35,61,8223
412,1,0,1,35,39,22042
413,1,1,3,35,68,19135
414,0,1,6,50,52,8648
415,1,1,2,40,70,8083
416,0,1,1,35,40,19135
417,1,1,5,35,47,20171
418,0,1,4,35,48,22308
419,1,1,2,60,67,8210
420,0,1,1,60,49,19087
421,1,1,3,110,55,21108
422,0,1,2,95,55,23229
423,1,0,1,35,26,20009
424,1,1,3,35,68,23113
425,1,1,2,35,78,8052
426,0,1,5,35,63,22039
427,1,1,1,35,64,20121
428,0,1,2,35,44,22180
429,1,1,3,175,65,22207
430,1,1,1,35,49,22124
431,1,1,3,145,73,22191
432,1,1,2,35,31,21122
433,1,1,2,35,60,22201
434,0,1,5,35,43,20152
435,0,1,2,35,34,20176
436,1,1,3,35,28,8753
437,0,1,1,55,40,22003
438,1,1,2,35,61,21122
439,1,1,1,35,50,20194
440,0,1,1,65,80,8753
441,1,1,3,35,43,21012
442,1,1,1,35,41,22405
443,1,1,5,175,64,8043
444,1,1,2,35,82,8701
445,0,1,2,35,57,22602
446,1,1,4,35,44,20112
447,0,1,4,85,50,22153
448,0,1,2,35,56,21244
449,0,1,4,65,58,22153
450,0,1,4,35,61,18901
451,1,1,4,35,64,22903
452,1,1,5,60,47,20121
453,1,1,3,35,53,8080
454,0,1,2,140,48,20850
455,1,1,2,35,48,8088
456,0,1,3,60,58,20176
457,1,1,1,175,64,20007
458,0,1,2,65,84,19116
459,1,1,1,45,60,7728
460,0,1,4,175,45,20817
461,1,1,4,35,60,8055
462,1,1,1,150,54,21046
463,0,1,2,50,54,22405
464,1,1,1,65,62,20175
465,1,1,2,175,78,21208
466,1,1,2,35,48,23113
467,0,1,2,70,73,20187
468,1,1,2,45,46,22015
469,0,1,4,75,50,8096
470,0,1,3,60,69,22180
471,0,1,2,60,63,22042
472,1,1,2,95,42,20854
473,1,1,3,35,45,19111
474,0,1,3,35,76,22314
475,1,1,1,55,44,21136
476,1,1,4,45,51,20180
477,1,1,1,175,57,21224
478,0,1,1,45,67,20194
479,1,1,5,35,39,8755
480,1,1,5,175,42,20855
481,0,1,3,70,44,8610
482,0,1,2,175,53,20853
483,1,1,6,135,50,21054
484,0,1,3,70,58,22304
485,0,1,1,90,53,8060
486,1,1,2,70,74,22901
487,0,1,4,35,38,21046
488,1,1,2,60,76,8753
489,0,1,3,35,52,8096
490,0,1,3,40,54,22903
491,1,1,4,95,42,19067
492,0,1,2,60,69,8550
493,0,1,6,175,53,22309
494,1,1,4,35,52,20904
495,1,1,7,175,69,20904
496,1,1,2,90,62,21117
497,0,0,1,35,45,20016
498,1,1,2,35,33,21158
499,1,1,3,35,58,8037
500,1,0,2,40,42,21093
501,0,1,4,65,60,20170
502,1,1,4,35,50,21401
503,1,1,2,45,56,21108
504,0,0,2,45,56,22405
505,1,1,3,35,53,8648
506,0,1,3,55,41,19047
507,1,1,4,60,56,8210
508,0,1,1,70,68,22193
509,1,1,2,75,65,20882
510,0,0,1,175,37,20008
511,1,1,4,95,58,8003
512,1,1,3,35,55,20832
513,1,1,3,35,54,8028
514,0,1,1,35,32,22315
515,0,0,2,35,39,20190
516,1,1,3,105,46,22153
517,1,1,6,55,52,21771
518,0,1,4,35,42,23233
519,1,1,4,35,47,21042
520,0,1,3,35,39,8080
521,0,1,2,35,58,20854
522,1,1,5,35,46,22308
523,0,1,3,35,50,21774
524,0,1,1,40,50,19128
525,1,1,4,175,55,22181
526,1,1,3,95,51,20723
527,1,1,2,35,75,8071
528,1,1,4,145,53,20854
529,1,1,3,35,62,8109
530,1,1,2,35,55,21146
531,0,1,4,115,56,20124
532,1,1,2,35,58,22903
533,0,1,1,35,64,8759
534,1,1,6,80,45,8054
535,0,0,1,80,43,8540
536,0,1,6,35,65,20904
537,1,0,1,35,61,8540
538,1,1,3,175,70,20905
539,1,1,4,175,55,20817
540,1,1,3,55,66,22901
541,1,1,2,35,62,21207
542,0,1,2,175,38,18901
543,0,1,1,40,60,21014
544,1,1,4,35,54,8016
545,1,1,1,105,46,22150
546,0,1,2,35,59,8098
547,1,1,3,80,55,22407
548,1,1,3,90,77,20815
549,0,1,1,35,64,20874
550,1,1,5,35,41,21286
551,1,1,3,35,64,19446
552,1,1,5,35,58,21403
553,1,1,5,60,61,20009
554,1,1,3,175,59,20176
555,1,1,1,35,73,8721
556,1,1,4,95,62,22015
557,1,1,2,175,50,20165
558,1,1,4,135,41,19067
559,1,1,2,175,42,19446
560,1,1,3,35,57,22079
561,1,1,2,35,86,8034
562,1,1,4,175,42,20121
563,1,1,3,175,55,23233
564,0,1,5,35,80,19136
565,0,1,1,100,53,21212
566,0,1,3,160,58,21212
567,1,1,4,60,43,21234
568,1,1,4,85,39,8234
569,0,1,2,35,82,22213
570,0,1,5,80,48,20855
571,1,1,3,85,51,22554
572,1,1,2,105,56,21701
573,1,1,2,105,68,18901
574,1,1,4,35,46,8731
575,1,1,1,35,54,22032
576,0,1,3,110,48,8610
577,1,1,6,35,49,21093
578,0,1,3,35,45,22003
579,1,1,4,135,51,18901
580,0,1,2,155,43,8620
581,0,1,2,35,45,21157
582,0,1,5,65,52,8610
583,1,1,2,35,69,21029
584,0,1,1,170,61,21108
585,1,1,4,35,56,18940
586,1,1,2,35,66,8108
587,1,1,1,40,45,20878
588,0,1,1,155,52,21136
589,1,1,4,60,53,22630
590,1,1,3,35,36,23113
591,0,1,1,140,77,8648
592,0,1,1,165,48,19087
593,1,1,3,50,65,22043
594,0,1,5,120,68,21136
595,1,1,3,35,43,8016
596,1,1,2,35,90,8108
597,0,1,2,35,48,20175
598,1,1,3,175,52,8096
599,0,1,4,65,75,20003
600,1,1,4,120,57,8322
601,1,1,3,45,49,8096
602,1,1,3,35,73,8022
603,1,1,2,85,71,8204
604,0,1,6,35,62,20132
605,1,1,1,60,51,22030
606,1,1,5,45,34,23233
607,1,1,5,115,48,22207
608,1,1,3,155,63,18901
609,1,1,4,175,56,20171
610,1,0,3,45,52,21074
611,0,1,2,60,37,8005
612,0,1,3,35,38,20136
613,0,1,1,50,73,19002
614,0,1,2,175,44,20112
615,1,0,4,35,66,8008
616,0,1,6,50,47,20120
617,1,1,4,130,51,21108
618,1,0,1,135,41,22201
619,1,1,6,70,42,20832
620,1,1,3,175,55,22039
621,1,1,2,35,38,19038
622,0,0,2,55,28,8540
623,0,1,2,35,81,20906
624,0,0,3,35,48,24060
625,1,1,3,95,60,19010
626,1,1,2,110,59,20814
627,1,1,5,105,58,20814
628,0,1,1,35,64,20191
629,0,1,3,45,39,19038
630,0,1,4,35,48,8109
631,1,1,4,70,57,21207
632,1,1,3,75,83,8031
633,1,1,1,45,70,22307
634,0,1,6,35,58,8731
635,0,0,1,40,54,20171
636,1,1,2,90,45,8057
637,1,1,3,95,65,8221
638,1,1,2,65,50,22201
639,1,0,5,80,52,21012
640,1,1,4,35,58,21401
641,1,1,3,70,51,19002
642,0,1,2,35,52,20170
643,0,1,4,135,48,19096
644,1,1,2,40,55,19114
645,1,1,2,60,73,8088
646,1,1,3,100,60,7728
647,1,1,3,35,72,20904
648,0,1,5,35,39,21774
649,0,1,4,90,55,20854
650,0,1,2,100,35,20882
651,1,1,2,100,57,8003
652,1,1,4,35,55,23185
653,1,1,3,35,61,8057
654,1,1,4,45,49,22204
655,1,1,3,80,48,20171
656,1,1,5,35,66,21234
657,0,1,5,175,40,18966
658,1,1,2,165,62,21146
659,1,0,4,40,44,22015
660,0,1,1,35,61,20816
661,1,1,2,35,35,21117
662,0,1,4,35,53,8318
663,1,1,2,80,62,8204
664,0,1,4,35,44,22307
665,0,1,5,35,39,19053
666,1,1,5,35,49,8540
667,1,1,2,35,40,21771
668,1,1,1,35,81,8759
669,1,1,4,50,49,22030
670,0,1,1,65,81,8201
671,1,1,4,175,51,21158
672,0,1,3,110,50,21146
673,1,1,1,35,61,21702
674,1,1,2,35,45,8691
675,1,1,2,45,56,21042
676,0,1,2,35,65,22102
677,0,1,2,175,34,8085
678,0,1,1,80,71,20715
